"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"285",2,2,2,1,2,1,0,6,1
"286",2,2,5,1,2,1,0,6,1
"287",1,1,3,1,3,1,0,0,0
"288",2,3,4,2,1,2,0,0,0
"289",2,2,2,1,2,1,0,0,2
"290",2,2,2,1,2,1,6,1,1
"291",2,2,1,1,2,1,0,0,0
"292",1,1,5,1,3,1,0,6,1
"293",1,2,5,1,2,1,0,6,1
"294",1,2,5,1,2,1,0,8,6
"295",1,2,5,1,2,1,7,1,1
"296",1,1,3,1,3,1,11,3,1
"297",2,2,1,1,2,1,0,0,0
"298",2,2,1,3,2,1,0,0,0
"299",2,3,2,1,1,1,0,0,0
"300",2,2,2,1,2,1,0,1,1
"301",2,2,2,1,2,1,0,0,0
"302",1,1,3,1,3,1,15,5,1
"303",1,1,1,1,3,1,0,0,0
"304",1,1,3,1,3,1,0,0,1
"305",1,1,5,1,3,1,7,3,1
"306",1,1,3,1,3,1,0,3,1
"307",2,2,2,1,2,1,13,1,1
"308",1,1,3,1,3,1,0,0,0
"309",2,2,2,1,2,1,0,1,1
"310",1,1,3,1,3,1,10,3,1
"311",1,1,3,1,3,1,0,0,0
"312",2,2,2,1,2,1,0,1,1
"313",2,2,2,1,2,1,0,1,1
"314",1,1,3,1,3,1,15,5,1
"315",1,1,5,1,2,1,0,3,1
"316",1,1,5,1,3,1,0,0,1
"317",2,2,2,1,2,1,0,0,1
"318",2,2,2,1,2,1,13,1,1
"319",2,2,2,1,2,1,0,1,1
"320",2,2,1,1,2,1,0,0,0
"321",2,3,4,1,1,1,0,0,0
"322",1,2,5,1,2,1,0,6,1
"323",1,1,5,1,3,1,7,3,1
"324",1,1,5,1,2,1,16,3,1
"325",1,2,5,1,2,1,9,1,1
"326",1,2,5,1,2,1,0,1,1
"327",2,2,2,1,2,1,0,1,1
"328",1,1,3,1,3,1,0,3,1
"329",2,3,4,2,1,2,0,0,0
"330",1,2,1,1,3,1,0,0,0
"331",1,1,3,1,3,1,11,3,1
"332",2,2,2,1,2,1,0,0,0
"333",2,2,2,1,2,1,6,1,1
